<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 26806</b> résultats <font class="Normal">sur un total de <b>26806</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
métallique	métallique	16.49	3.34	mé-tal-li-que	
absolu	absolu	16.42	17.25	ab-so-lu	
dorée	doré	16.42	7.33	do-rée	
régulier	régulier	16.42	8.29	ré-gu-lier	
pâles	pâle	16.35	16.50	pâ-les	
total	total	16.35	24.59	to-tal	
communiste	communiste	16.35	13.47	com-mu-nis-te	
fortes	fort	16.35	95.28	for-tes	
fameuse	fameux	16.28	18.67	fa-meu-se	
courts	court	16.22	41.15	courts	
indifférent	indifférent	16.22	4.48	in-dif-fé-rent	
misérable	misérable	16.22	13.16	mi-sé-ra-ble	
absolue	absolu	16.15	17.25	ab-so-lue	
brillants	brillant	16.15	29.89	bril-lants	
perdue	perdu	16.15	36.46	per-due	
vastes	vaste	16.15	10.32	vas-tes	
étonnant	étonnant	16.15	19.85	é-ton-nant	
feu	feu	16.08	22.07	feu	
malheureuse	malheureux	16.08	37.96	mal-heu-reu-se	
basses	bas	16.01	85.56	bas-ses	
connu	connu	16.01	15.01	con-nu	
considérable	considérable	16.01	2.98	con-si-dé-ra-ble	
excellent	excellent	16.01	76.43	ex-cel-lent	
invisibles	invisible	16.01	16.21	in-vi-si-bles	
méchant	méchant	16.01	53.37	mé-chant	
fausses	faux	15.95	122.23	faus-ses	
sainte	saint	15.95	23.22	sain-te	
principal	principal	15.81	36.68	prin-ci-pal	
classique	classique	15.81	15.58	clas-si-que	
gigantesque	gigantesque	15.81	4.59	gi-gan-tes-que	
insolite	insolite	15.81	2.90	in-so-li-te	
commode	commode	15.74	4.96	com-mo-de	
doré	doré	15.74	7.33	do-ré	
quatrième	quatrième	15.74	8.65	qua-triè-me	
précise	précis	15.68	31.59	pré-ci-se	
brûlant	brûlant	15.68	10.48	brû-lant	
indispensable	indispensable	15.68	9.21	in-dis-pen-sa-ble	
jolies	joli	15.68	226.45	jo-lies	
entières	entier	15.61	76.01	en-tiè-res	
tendres	tendre	15.61	21.66	ten-dres	
