<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
personnes	personne	63.85	296.74	per-son-nes	
nouvelles	nouveau	63.78	229.97	nou-vel-les	
château	château	63.38	43.68	châ-teau	
bon	bon	63.31	102.33	bon	
lune	lune	63.24	61.02	lu-ne	
rencontre	rencontre	63.24	35.68	ren-con-tre	
bête	bête	63.18	67.67	bê-te	
destin	destin	62.77	53.03	des-tin	
rouge	rouge	62.77	37.14	rou-ge	
paquet	paquet	62.77	44.96	pa-quet	
mademoiselle	mademoiselle	62.30	73.98	ma-de-moi-sel-le	
lait	lait	62.23	59.62	lait	
têtes	tête	61.96	475.87	tê-tes	
voitures	voiture	61.96	429.40	voi-tu-res	
branches	branche	61.49	18.07	bran-ches	
allemands	allemand	61.42	49.08	al-le-mand-s	
ensemble	ensemble	61.42	31.87	en-sem-ble	
attente	attente	61.35	25.07	at-ten-te	
horreur	horreur	61.35	46.19	hor-reur	
lignes	ligne	61.28	89.83	li-gnes	
merde	merde	61.28	213.05	mer-de	
raisons	raison	61.28	467.94	rai-sons	
bateau	bateau	61.22	124.82	ba-teau	
terrasse	terrasse	61.15	10.57	ter-ras-se	
horizon	horizon	61.08	9.04	ho-ri-zon	
ministre	ministre	61.01	41.41	mi-nis-tre	
carte	carte	60.95	144.96	car-te	
printemps	printemps	60.88	27.85	prin-temps	
tapis	tapis	60.88	20.13	ta-pis	
empire	empire	60.74	19.47	em-pi-re	
minute	minute	60.74	342.28	mi-nu-te	
médecin	médecin	60.68	140.19	mé-de-cin	
angoisse	angoisse	60.68	17.82	an-gois-se	
masse	masse	60.54	16.73	mas-se	
camarades	camarade	60.14	77.81	ca-ma-ra-des	
dîner	dîner	60.00	88.45	dî-ner	
numéro	numéro	60.00	173.48	nu-mé-ro	
blanc	blanc	59.73	46.88	blanc	
pages	page	59.66	39.41	pa-ges	
peinture	peinture	59.39	29.53	pein-tu-re	
tendresse	tendresse	59.39	15.87	ten-dres-se	
traits	trait	59.39	15.86	traits	
gars	gars	59.26	289.63	gars	
chat	chat	59.26	93.00	chat	
comité	comité	58.99	18.72	co-mi-té	
salut	salut	58.99	277.42	sa-lut	
machine	machine	58.99	67.72	ma-chi-ne	
manteau	manteau	58.99	39.97	man-teau	
palais	palais	58.72	29.55	pa-lais	
menton	menton	58.65	6.58	men-ton	
a	a	58.65	81.36	a	
papiers	papier	58.51	120.51	pa-piers	
univers	univers	58.45	34.21	u-ni-vers	
égard	égard	58.31	9.19	é-gard	
bruits	bruit	58.31	94.13	bruits	
moyens	moyen	58.31	83.47	moyens	
soirée	soirée	58.24	102.37	soi-rée	
événements	événement	58.24	28.57	é-vé-ne-ments	
conseil	conseil	58.18	87.14	con-seil	
pantalon	pantalon	57.91	37.55	pan-ta-lon	
pitié	pitié	57.91	76.38	pi-tié	
morceau	morceau	57.84	64.78	mor-ceau	
tableau	tableau	57.84	50.11	ta-bleau	
sort	sort	57.50	44.80	sort	
attitude	attitude	57.50	23.03	at-ti-tu-de	
quart	quart	57.36	23.02	quart	
marché	marché	57.36	74.36	mar-ché	
sueur	sueur	57.30	11.71	sueur	
victoire	victoire	57.23	34.96	vic-toi-re	
objets	objet	57.23	45.94	ob-jets	
allure	allure	57.09	10.57	al-lu-re	
bien	bien	56.89	106.60	bien	
appel	appel	56.69	100.18	ap-pel	
société	société	56.55	75.46	so-cié-té	
paupières	paupière	56.42	4.75	pau-piè-res	
autorité	autorité	56.22	32.95	au-to-ri-té	
ordres	ordre	56.08	217.25	or-dres	
déjeuner	déjeuner	56.01	51.34	dé-jeu-ner	
kilomètres	kilomètre	55.95	24.80	ki-lo-mè-tres	
fumée	fumée	55.88	20.25	fu-mée	
page	page	55.88	39.41	pa-ge	
aube	aube	55.81	30.32	au-be	
connaissance	connaissance	55.81	43.08	con-nais-san-ce	
contact	contact	55.68	69.85	con-tact	
veste	veste	55.68	37.72	ves-te	
secondes	seconde	55.27	124.54	se-con-des	
problème	problème	55.20	520.07	pro-blè-me	
quai	quai	55.14	14.01	quai	
verres	verre	54.86	176.57	ver-res	
